,sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
0,female,permanent,41-45,14.0,White British,strongly agree,strongly agree,strongly agree,agree,I always do this,I frequently do this,I sometimes do this,I occasionally do this,strongly agree,strongly agree,strongly agree,neither,neither,neither,agree,neither,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,neither,neither,neither,neither
1,female,permanent,41-45,4.0,White British,neither,agree,neither,disagree,I frequently do this,I frequently do this,I frequently do this,I always do this,disagree,disagree,disagree,neither,neither,neither,disagree,disagree,agree,agree,agree,agree,agree,agree,disagree,disagree,,agree,disagree,disagree,disagree
2,female,permanent,36-40,10.0,White British,disagree,neither,disagree,disagree,I frequently do this,I always do this,I sometimes do this,I sometimes do this,strongly agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,neither,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,disagree,agree,disagree
3,female,permanent,36-40,10.0,White British,agree,agree,agree,agree,I sometimes do this,I sometimes do this,I sometimes do this,I never do this,agree,neither,agree,neither,neither,disagree,neither,neither,agree,agree,agree,neither,neither,neither,agree,agree,neither,agree,neither,neither,neither
4,female,permanent,46-50,2.0,White British,agree,agree,agree,agree,I always do this,I frequently do this,I frequently do this,I always do this,,,,,,,,,disagree,disagree,disagree,neither,disagree,neither,neither,agree,neither,neither,neither,neither,neither
5,female,permanent,41-45,1.0,White British,agree,agree,neither,agree,I sometimes do this,I frequently do this,I never do this,I always do this,agree,neither,neither,agree,agree,neither,agree,agree,neither,agree,agree,agree,agree,agree,agree,agree,agree,neither,disagree,disagree,disagree
6,female,permanent,41-45,1.0,White British,disagree,strongly agree,disagree,agree,I frequently do this,I occasionally do this,I occasionally do this,I occasionally do this,agree,agree,agree,strongly disagree,strongly disagree,disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly agree,disagree,neither,neither
7,female,permanent,56 +,10.0,White British,agree,agree,agree,agree,I frequently do this,I always do this,I frequently do this,I always do this,agree,agree,agree,,,,strongly disagree,strongly disagree,neither,neither,neither,agree,agree,agree,neither,neither,neither,neither,strongly disagree,strongly disagree,strongly disagree
8,female,permanent,51-55,6.0,White British,strongly agree,strongly agree,strongly agree,strongly agree,I frequently do this,I frequently do this,I sometimes do this,I sometimes do this,agree,agree,agree,agree,agree,agree,agree,agree,neither,neither,neither,agree,strongly agree,strongly agree,agree,agree,agree,agree,disagree,agree,agree
9,female,permanent,41-45,1.0,White British,,,,,I frequently do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,strongly agree,strongly agree,strongly disagree,strongly disagree,strongly disagree,neither,neither,agree,agree,agree,disagree,disagree,disagree,neither,disagree,neither,neither,disagree,disagree,disagree
