,DepartmentGroupNumber,GroupSize,PercentMale,BAME,NumberTeamLeads,NumberFeMaleTeamLeads,Location,LondonorNot,Function,EMPsurvEngage_1,EMPsurvEngage_2,EMPsurvEngage_3,EMPsurvEngage_4,EMPsurvEngage_5,EMPsurvEngage_6,EMPsurvEngage_7,EMPsurvEngage_8,EMPsurvEngage_9,EMPsurvEngagement,EMPorgIntegrity1,EMPorgIntegrity2,EMPorgIntegrity3,EMPorgIntegrity4,EMPorgIntegrity5,EmpSurvOrgIntegrity,EMPsurvSUP1,EMPsurvSUP2,EMPsurvSUP3,EMPsurvSUP4,EmpSurvSupervisor
0,1.0,13.0,100.0,0.03,2.0,0.0,3.0,Other Location,Sales,100.0,100.0,100.0,85.0,100.0,92.0,92.0,77.0,77.0,91.0,92.0,92.0,92.0,92.0,1.0,73.8,92.0,92.0,85.0,92.0,90.25
1,2.0,41.0,67.0,0.04,6.0,0.0,2.0,London,Sales,93.0,98.0,93.0,90.0,100.0,88.0,90.0,59.0,85.0,88.0,59.0,80.0,88.0,83.0,2.0,62.4,83.0,85.0,85.0,85.0,84.5
2,3.0,28.0,65.0,0.25,4.0,2.0,3.0,Other Location,Sales,89.0,96.0,96.0,82.0,100.0,74.0,89.0,57.0,93.0,86.0,57.0,96.0,100.0,79.0,3.0,67.0,93.0,79.0,82.0,93.0,86.75
3,4.0,43.0,65.0,0.02,6.0,0.0,3.0,Other Location,Sales,93.0,93.0,88.0,60.0,98.0,67.0,88.0,47.0,81.0,80.0,42.0,93.0,98.0,84.0,4.0,64.2,70.0,67.0,70.0,70.0,69.25
4,5.0,10.0,25.0,0.1,1.0,0.0,2.0,London,Professional Service,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0,100.0,97.0,80.0,100.0,100.0,90.0,5.0,75.0,100.0,100.0,80.0,70.0,87.5
5,6.0,25.0,54.0,0.05,4.0,2.0,3.0,Other Location,Sales,100.0,100.0,96.0,76.0,100.0,80.0,88.0,76.0,92.0,90.0,68.0,88.0,96.0,96.0,6.0,70.8,72.0,68.0,60.0,56.0,64.0
6,7.0,27.0,35.0,0.0,4.0,2.0,3.0,Other Location,Professional Service,85.0,100.0,89.0,78.0,96.0,81.0,89.0,85.0,74.0,86.0,48.0,73.0,81.0,70.0,7.0,55.8,74.0,63.0,78.0,78.0,73.25
7,9.0,60.0,25.0,0.0,9.0,0.0,2.0,London,Professional Service,100.0,83.0,83.0,77.0,85.0,65.0,90.0,62.0,68.0,79.0,68.0,95.0,97.0,83.0,9.0,70.4,83.0,73.0,67.0,73.0,74.0
8,10.0,53.0,25.0,0.2,8.0,0.0,1.0,London,Professional Service,100.0,83.0,85.0,83.0,87.0,68.0,89.0,64.0,70.0,81.0,72.0,96.0,98.0,85.0,10.0,72.2,87.0,75.0,68.0,75.0,76.25
9,11.0,18.0,52.0,0.1,3.0,0.0,3.0,Other Location,Sales,100.0,89.0,89.0,61.0,94.0,72.0,89.0,50.0,83.0,81.0,94.0,94.0,100.0,94.0,11.0,78.6,78.0,94.0,67.0,67.0,76.5
10,12.0,31.0,24.0,0.3,4.0,0.0,1.0,London,Professional Service,100.0,100.0,100.0,87.0,94.0,87.0,97.0,68.0,90.0,91.0,55.0,90.0,94.0,71.0,12.0,64.4,87.0,94.0,74.0,84.0,84.75
11,13.0,30.0,25.0,0.04,4.0,0.0,2.0,London,Professional Service,100.0,100.0,97.0,77.0,100.0,83.0,97.0,80.0,97.0,92.0,80.0,93.0,100.0,67.0,13.0,70.6,80.0,70.0,60.0,67.0,69.25
12,14.0,10.0,35.0,0.11,1.0,0.0,1.0,London,Professional Service,100.0,90.0,90.0,80.0,100.0,90.0,100.0,50.0,90.0,88.0,40.0,90.0,100.0,50.0,14.0,58.8,50.0,40.0,40.0,50.0,45.0
13,15.0,50.0,76.0,0.0,7.0,2.0,2.0,London,Sales,96.0,90.0,90.0,74.0,90.0,76.0,86.0,72.0,80.0,84.0,74.0,76.0,84.0,78.0,15.0,65.4,86.0,72.0,76.0,84.0,79.5
14,16.0,47.0,65.0,0.0,7.0,3.0,2.0,London,Sales,96.0,98.0,93.0,68.0,100.0,91.0,96.0,63.0,74.0,87.0,81.0,94.0,96.0,89.0,16.0,75.2,87.0,94.0,85.0,85.0,87.75
