,Q1_Age,Q2_Gender,Q3_Education,Q4_Native,Q5_Marital_status,Q6_Family,Q7_First_Job_HK,Q8_HK_Segment,Q9_Vendor_Name,Q9A_Client_Name,Q9B_Year_Joining,Q10_Emp._Type,Q11_Job_Lead,Q12_Reason,Q13_TrainingProvided,Q14_TrainingCommunication,Q14B_TrainingGrooming,Q14C_TrainingChemical,Q14D_TrainingMoppingTechniq,Q14E_TrainingMopMachine,Q15A_FormalRecruitment,Q15B_English_Knowledge,Q15C_Look_Presentable,Q15D_Written_contract,Q15E_Reporting_at_Work,Q15F_Supervisor_Strictness,Q15G_Worklife_Balance,Q15H_Union,Q16_Work_Days,Q17_WorkHours_Daily,Q18_OvertimeHours,Q19_Overtime_Freq,Q20_LongTerm_CareerPlan,Q21_Investment_PersonalDevelopment,Q22_Monthly_Income,Q23_Payment_Method,Q24_Second_Job,Q25_Remittence_to_Home,Q26_OtherEarning_Members,Q27_Leaves_Entitled,Q28_Leaves_Paid,Q29A_TimelyPayment,Q29B_PayHike,Q29C_PaidLeavePayment,Q29D_WageNegotiation,Q30A_ESIC,Q30B_Pension,Q30C_Bonus,Q30D_Gratuity,Q30E_ProvidentFund,Q30F_Loan,Q30G_LifeInsur,Q31A_JobSatisfaction,Q31B_SalarySatisfaction,Q31C_WorkingHours_Satisfaction,Q31D_HKstaffTreatment_Satisfaction,Q32A_Penalty_breaking_things,Q32B_Job_Security,Q32C_Attrition_Rate,Q32D_Meeting_Expenses,Q32E_Recommend_Friend,Q32F_Uniform_complementary,Q32G_Prmotion_Supervisor
0,20-25,Male,12th pass,Maharasthra (other than Mumbai),Single,No,2013,Call center or MNC HK,Dusters group,Accenture,2013,Verbal,Walk in,Friend/family memebrs are here,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,not sure/undecided,no,six,7-8 hours,seven,Once in a month,Prepraing for better career elsewhere,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Not applicable/no idea,Yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,not sure/undecided,no,yes
1,Above 50,Male,Stand. 1-5,Other state,Married,No,2012,Call center or MNC HK,PSIPL,Deustche bank,2012,Renewable fix term,Personal contact,Other reason,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,six,7-8 hours,six to eight,2-3 times in a week,Remain in HK sector,No,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,not sure/undecided,no,no,not sure/undecided,yes,no
2,26-30,Male,Stand. 6-9,Maharasthra (other than Mumbai),Married,No,2010,Call center or MNC HK,PSIPL,Accenture,2010,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,six,7-8 hours,eight,Once in a week,Will switch to personal business,No,5001-7000,Bank payment,No,No,no,Weekely off,Up to 14 days,Yes,Yes,No,yes,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,yes,yes,yes,not sure/undecided,yes,yes,no,yes,not sure/undecided,not sure/undecided
3,46-50,Male,Stand. 1-5,Maharasthra (other than Mumbai),Married,Yes,2007,Call center or MNC HK,Dusters,Deustche bank,2008,Permanant contract,Personal contact,Other reason,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,six,7-8 hours,four to eight,Once in a week,Will switch to personal business,No,7001-10000,Bank payment,No,No,yes,National holidays/compensatory off,Up to 22 days,Yes,Yes,Yes,yes,yes,no,yes,yes,yes,no,no,yes,niether satisfied nor dis-satisfied,yes,yes,no,yes,yes,no,not sure/undecided,no,no
4,36-40,Male,Stand. 6-9,Other state,Single,No,2010,Call center or MNC HK,Dusters,Deustche bank,2010,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,no,yes,yes,yes,no,six,7-8 hours,four or six,2-3 times in a month,Not sure about it,No,7001-10000,Bank payment,No,Yes,no,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,not sure/undecided,no,not sure/undecided,yes,no
5,20-25,Male,10th pass,Mumbai,Single,Yes,2008,Call center or MNC HK,CIFM,Aditya Birla,2008,Permanant contract,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,six,9-10 hours,six,2-3 times in a month,Prepraing for better career elsewhere,No,7001-10000,Cash in hand,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes
6,31-35,Female,12th pass,Other state,Single,Yes,2005,Call center or MNC HK,CIFM,Aditya Birla,2009,Verbal,Walk in,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,11-12 hours,four,2-3 times in a week,Prepraing for better career elsewhere,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,no,yes,no,no,yes,niether satisfied nor dis-satisfied,niether satisfied nor dis-satisfied,yes,no,no,yes,no,yes,no,yes
7,36-40,Male,Stand. 6-9,Mumbai,Married,Yes,2011,Call center or MNC HK,OTTS,Deustche bank,2011,Renewable fix term,Personal contact,999.0,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six hours,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,999.0,no,not sure/undecided,yes,yes
8,20-25,Male,Stand. 6-9,Mumbai,Single,Yes,2013,Call center or MNC HK,PSIPL,Accenture,2013,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Will switch to other sector,Yes,7001-10000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
9,26-30,Female,Stand. 6-9,Mumbai,Married,Yes,2013,Call center or MNC HK,DTTS,Deutsche bank,2013,Renewable fix term,Personal contact,friend/family encouraged,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,1-4 hours,four hours,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,not sure/undecided,yes,no,no,yes,yes
10,Below 20,Male,12th pass,Mumbai,Single,Yes,2014,Call center or MNC HK,PSIPL,Accenture,2014,Renewable fix term,Personal contact,Best possible job for given qualification,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
11,36-40,Female,Stand. 1-5,Mumbai,Married,Yes,2009,Call center or MNC HK,PSIPL,Accenture,2009,Do not know,Personal contact,friend/family encouraged,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,1-4 hours,four,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,999.0,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
12,36-40,Male,Stand. 1-5,Mumbai,Married,Yes,2012,Call center or MNC HK,PSIPL,Accenture,2012,Renewable fix term,Personal contact,Found no better job,yes,yes,yes,yes,yes,yes,yes,not sure/undecided,yes,yes,yes,yes,yes,no,six,5-6 hours,six,2-3 times in a week,Not sure about it,Yes,5001-7000,Bank payment,No,Yes,yes,Weekely off,Up to 22 days,Yes,Yes,Yes,no,yes,no,yes,yes,yes,no,no,niether satisfied nor dis-satisfied,no,yes,yes,no,no,yes,no,not sure/undecided,yes,yes
